 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,6,50)	2.767761
(0,0,6,51)	2.629669
(0,0,6,52)	2.164581
(0,0,6,53)	1.576019
(0,0,6,54)	1.223694
(0,0,6,55)	1.744904
(0,0,6,56)	2.623718
(0,0,6,57)	2.820953
(0,0,6,58)	4.117157
(0,0,6,59)	4.487671
(0,0,6,60)	4.936523
(0,0,6,61)	5.623108
(0,0,6,62)	6.242432
(0,0,6,63)	6.455475
(0,0,6,64)	4.892212
(0,0,6,65)	6.288147
(0,0,6,66)	5.951355
(0,0,6,67)	5.493683
(0,0,6,68)	5.263947
(0,0,6,69)	5.474487
(0,0,6,70)	5.426575
(0,0,6,71)	5.355072
(0,0,6,72)	5.165222
(0,0,6,73)	5.513123
(0,0,7,0)	13.74832
(0,0,7,1)	15.06717
(0,0,7,2)	14.34528
(0,0,7,3)	11.88358
(0,0,7,4)	13.53488
(0,0,7,5)	13.23538
(0,0,7,6)	12.17218
(0,0,7,7)	11.30655
(0,0,7,8)	11.85257
(0,0,7,9)	11.22052
(0,0,7,10)	10.74695
(0,0,7,11)	10.67346
(0,0,7,12)	9.83429
(0,0,7,13)	10.53183
(0,0,7,14)	11.12366
(0,0,7,15)	11.0824
(0,0,7,16)	11.26785
(0,0,7,17)	11.38196
(0,0,7,18)	11.02859
(0,0,7,19)	9.788757
(0,0,7,20)	9.806183
(0,0,7,21)	9.660706
(0,0,7,22)	9.649139
(0,0,7,23)	9.263458
(0,0,7,24)	8.902222
(0,0,7,25)	8.633484
(0,0,7,26)	7.943146
(0,0,7,27)	8.00531
(0,0,7,28)	7.760651
(0,0,7,29)	7.486267
(0,0,7,30)	7.268097
(0,0,7,31)	5.982574
(0,0,7,32)	5.649109
(0,0,7,33)	5.152405
(0,0,7,34)	4.657501
(0,0,7,35)	4.277557
(0,0,7,36)	3.892578
(0,0,7,37)	3.579529
(0,0,7,38)	3.439728
(0,0,7,39)	3.390869
(0,0,7,40)	3.424683
(0,0,7,41)	3.451385
(0,0,7,42)	3.414642
(0,0,7,43)	3.343903
(0,0,7,44)	3.317932
(0,0,7,45)	3.210907
